tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_15,1950.3438,0.0,2341.8667,113.82573,Tree,0.13224904,"POLYGON ((2341.86669921875 0, 2341.86669921875 113.82572937011719, 1950.34375 113.82572937011719, 1950.34375 0, 2341.86669921875 0))",391.52295,113.82573,44565.387
Tree_16,2607.5388,1649.8882,3005.2083,2025.7094,Tree,0.13111667,"POLYGON ((3005.208251953125 1649.88818359375, 3005.208251953125 2025.7093505859375, 2607.538818359375 2025.7093505859375, 2607.538818359375 1649.88818359375, 3005.208251953125 1649.88818359375))",397.66943,375.82117,149452.6
Tree_17,867.53314,2152.4634,1310.098,2636.5374,Tree,0.12563114,"POLYGON ((1310.0980224609375 2152.46337890625, 1310.0980224609375 2636.537353515625, 867.5331420898438 2636.537353515625, 867.5331420898438 2152.46337890625, 1310.0980224609375 2152.46337890625))",442.56488,484.07397,214234.14
Tree_18,1466.4252,2617.259,1962.9318,3030.2058,Tree,0.12212608,"POLYGON ((1962.9317626953125 2617.259033203125, 1962.9317626953125 3030.205810546875, 1466.4251708984375 3030.205810546875, 1466.4251708984375 2617.259033203125, 1962.9317626953125 2617.259033203125))",496.5066,412.94678,205030.8
Tree_19,813.5975,430.27988,1111.1881,717.521,Tree,0.114811204,"POLYGON ((1111.1881103515625 430.2798767089844, 1111.1881103515625 717.52099609375, 813.5974731445312 717.52099609375, 813.5974731445312 430.2798767089844, 1111.1881103515625 430.2798767089844))",297.59064,287.24112,85480.266
Tree_20,531.4246,1565.9154,1125.9174,2140.3704,Tree,0.11361709,"POLYGON ((1125.9173583984375 1565.9154052734375, 1125.9173583984375 2140.370361328125, 531.4246215820312 2140.370361328125, 531.4246215820312 1565.9154052734375, 1125.9173583984375 1565.9154052734375))",594.49274,574.45496,341509.3
Tree_21,1346.9904,1565.4757,1907.0336,2125.8826,Tree,0.10925569,"POLYGON ((1907.0335693359375 1565.4757080078125, 1907.0335693359375 2125.882568359375, 1346.9903564453125 2125.882568359375, 1346.9903564453125 1565.4757080078125, 1907.0335693359375 1565.4757080078125))",560.0432,560.40686,313852.06
Tree_22,2474.8643,1381.9164,2791.203,1712.2937,Tree,0.10018529,"POLYGON ((2791.202880859375 1381.9163818359375, 2791.202880859375 1712.293701171875, 2474.8642578125 1712.293701171875, 2474.8642578125 1381.9163818359375, 2791.202880859375 1381.9163818359375))",316.33862,330.37732,104511.11
Tree_23,756.63275,0.05710693,954.97253,53.35742,Tree,0.10009904,"POLYGON ((954.9725341796875 0.0571069307625294, 954.9725341796875 53.357421875, 756.6327514648438 53.357421875, 756.6327514648438 0.0571069307625294, 954.9725341796875 0.0571069307625294))",198.33978,53.300316,10571.573
Tree_24,2468.4878,2606.341,2956.7012,3035.9468,Tree,0.10006568,"POLYGON ((2956.701171875 2606.341064453125, 2956.701171875 3035.94677734375, 2468.48779296875 3035.94677734375, 2468.48779296875 2606.341064453125, 2956.701171875 2606.341064453125))",488.21338,429.6057,209739.25
